Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Age,km_year,km_year1,shabby,euro_r
Toyota,Prius,2011,Hatchback,195000.0,1800.0,Hybrid,Automatic,7750.0,11,q3,17727.0,21450.0,6519.117647058823
Renault,Grand Scenic,2014,Universal,135000.0,1500.0,Diesel,Manual,8550.0,8,q3,16875.0,10800.0,3621.176470588235
Renault,Laguna,2012,Universal,110000.0,1500.0,Diesel,Manual,6550.0,10,q2,11000.0,11000.0,2825.4901960784314
Opel,Astra,2006,Universal,200000.0,1600.0,Metan/Propan,Manual,4100.0,16,q2,12500.0,32000.0,5145.098039215686
Mercedes,Vito,2000,Microvan,300000.0,2200.0,Diesel,Manual,3490.0,22,q2,13636.0,66000.0,9032.941176470587
Volkswagen,Passat,2010,Universal,290000.0,1390.0,Petrol,Manual,5600.0,12,q4,24167.0,34800.0,7642.35294117647
Volkswagen,Touareg,2010,SUV,220000.0,2400.0,Diesel,Automatic,17000.0,12,q3,18333.0,26400.0,17600.0
Mercedes,Series (W124),1991,Sedan,240000.0,2300.0,Petrol,Manual,2850.0,31,q1,7742.0,74400.0,8315.29411764706
BMW,5 Series,2004,Sedan,325000.0,300.0,Diesel,Manual,3400.0,18,q3,18056.0,58500.0,7800.0
Mercedes,E Class,2010,Sedan,210000.0,2200.0,Diesel,Automatic,11400.0,12,q3,17500.0,25200.0,11265.882352941177
Mercedes,Rare,2006,Coupe,300000.0,3200.0,Diesel,Automatic,11800.0,16,q3,18750.0,48000.0,22211.764705882353
BMW,7 Series,1998,Sedan,285000.0,3500.0,Petrol,Manual,3990.0,24,q2,11875.0,68400.0,10702.588235294117
Volkswagen,Golf,2007,Universal,238371.0,1400.0,Petrol,Automatic,5000.0,15,q3,15891.0,35755.65,7010.911764705882
Volkswagen,Rare,2010,Hatchback,150000.0,1200.0,Petrol,Manual,5500.0,12,q2,12500.0,18000.0,3882.3529411764707
Volvo,XC60,2012,Crossover,180000.0,2400.0,Diesel,Automatic,15900.0,10,q3,18000.0,18000.0,11223.529411764706
Nissan,Qashqai,2011,Crossover,251000.0,1500.0,Diesel,Manual,8300.0,11,q4,22818.0,27610.0,8986.78431372549
Hyundai,Matrix,2005,Universal,383000.0,1500.0,Diesel,Manual,3200.0,17,q4,22529.0,65110.0,8170.666666666667
Audi,Rare,2009,Hatchback,248000.0,2000.0,Diesel,Automatic,9299.0,13,q4,19077.0,32240.0,11756.853333333333
Mercedes,E Class,2004,Universal,315000.0,1800.0,Metan/Propan,Manual,6900.0,18,q3,17500.0,56700.0,15342.35294117647
GAZ,Rare,1992,Sedan,68000.0,2445.0,Petrol,Manual,2222.0,30,q1,2267.0,20400.0,1777.6
Renault,Megane,2011,Universal,171000.0,1500.0,Diesel,Manual,5700.0,11,q3,15545.0,18810.0,4204.588235294118
Rare,Rare,2013,Hatchback,113000.0,367.0,Electric,Automatic,27000.0,9,q2,12556.0,10170.0,10768.235294117647
Mercedes,E Class,2014,Sedan,275500.0,2200.0,Diesel,Automatic,18350.0,8,q4,34438.0,22040.0,15860.156862745098
Lincoln,Rare,2017,Sedan,157000.0,1998.0,Hybrid,Automatic,17800.0,5,q4,31400.0,7850.0,5479.607843137255
Lexus,NX Series,2017,Crossover,76000.0,1998.0,Petrol,Automatic,27999.0,5,q3,15200.0,3800.0,4172.4
Dodge,Rare,2008,Hatchback,113486.0,1998.0,Metan/Propan,Automatic,4495.0,14,q1,8106.0,15888.04,2800.656462745098
Audi,100,1993,Sedan,235000.0,2000.0,Petrol,Manual,2950.0,29,q1,8103.0,68150.0,7884.019607843137
Porsche,Cayenne,2012,Crossover,253444.0,3000.0,Diesel,Automatic,30222.0,10,q4,25344.0,25344.4,30037.58654117647
Lexus,RX Series,2009,SUV,250000.0,3500.0,Hybrid,Automatic,17990.0,13,q4,19231.0,32500.0,22928.43137254902
Volkswagen,Passat,2012,Sedan,179000.0,1400.0,Metan/Propan,Automatic,9800.0,10,q3,17900.0,17900.0,6879.21568627451
BMW,Rare,2015,Crossover,169777.0,2000.0,Diesel,Automatic,16888.0,7,q4,24254.0,11884.39,7870.728561568627
Mercedes,Rare,2017,Crossover,71333.0,2500.0,Diesel,Automatic,43404.0,5,q2,14267.0,3566.65,6070.8579058823525
Opel,Vectra,1994,Sedan,340000.0,1800.0,Petrol,Manual,1500.0,28,q2,12143.0,95200.0,5600.0
BMW,7 Series,2007,Sedan,300000.0,3000.0,Diesel,Automatic,11500.0,15,q4,20000.0,45000.0,20294.117647058825
Volkswagen,Touran,2004,Minivan,280000.0,200.0,Diesel,Automatic,5300.0,18,q3,15556.0,50400.0,10475.29411764706
Volkswagen,Passat,2010,Universal,228000.0,1400.0,Metan/Propan,Automatic,5700.0,12,q4,19000.0,27360.0,6115.764705882353
Toyota,Auris,2010,Sedan,185000.0,1400.0,Diesel,Manual,6500.0,12,q3,15417.0,22200.0,5658.823529411765
Nissan,Qashqai,2009,Hatchback,200415.0,1500.0,Diesel,Manual,6200.0,13,q3,15417.0,26053.95,6334.685882352941
BMW,3 Series,2016,Minivan,136000.0,2000.0,Diesel,Automatic,13200.0,6,q4,22667.0,8160.0,4224.0
BMW,5 Series,2003,Sedan,250000.0,3000.0,Petrol,Automatic,7490.0,19,q2,13158.0,47500.0,13951.960784313726
Dacia,Logan,2014,Sedan,195000.0,1200.0,Metan/Propan,Manual,3999.0,8,q4,24375.0,15600.0,2446.4470588235295
Dacia,Duster,2015,SUV,170000.0,1500.0,Diesel,Manual,8800.0,7,q4,24286.0,11900.0,4106.666666666667
Volkswagen,Golf,2010,Universal,191500.0,1400.0,Petrol,Manual,5700.0,12,q3,15958.0,22980.0,5136.705882352941
Volkswagen,Passat,1991,Sedan,292000.0,1800.0,Petrol,Manual,1150.0,31,q1,9419.0,90520.0,4082.274509803922
BMW,3 Series,2004,Sedan,250000.0,2000.0,Diesel,Manual,4499.0,18,q2,13889.0,45000.0,7939.411764705882
Nissan,Qashqai,2015,Crossover,158000.0,1500.0,Diesel,Manual,11750.0,7,q4,22571.0,11060.0,5096.274509803921
Peugeot,Rare,2018,Crossover,132000.0,1500.0,Diesel,Automatic,16500.0,4,q4,33000.0,5280.0,3416.470588235294
BMW,X5,2005,SUV,260500.0,3000.0,Petrol,Automatic,8999.0,17,q3,15324.0,44285.0,15628.263333333334
Renault,Megane,2005,Universal,11111.0,1500.0,Diesel,Manual,3200.0,17,q1,654.0,1888.87,237.03466666666668
Nissan,Qashqai,2013,SUV,180000.0,1500.0,Diesel,Manual,8999.0,9,q4,20000.0,16200.0,5717.011764705882
Ford,Transit Connect,2012,Minivan,151658.0,1800.0,Diesel,Manual,3899.0,10,q3,15166.0,15165.8,2318.880556862745
Renault,Scenic,2015,Microvan,185480.0,1461.0,Diesel,Manual,7550.0,7,q4,26497.0,12983.6,3844.1639215686273
BMW,7 Series,2009,Sedan,215210.0,3000.0,Diesel,Automatic,16500.0,13,q3,16555.0,27977.3,18102.95882352941
Volkswagen,Polo,2007,Hatchback,305988.0,1400.0,Diesel,Manual,3250.0,15,q4,20399.0,45898.2,5849.770588235294
BMW,5 Series,2014,Sedan,231250.0,2000.0,Diesel,Automatic,18000.0,8,q4,28906.0,18500.0,13058.823529411764
Vaz,2121niva,2004,Minivan,12000.0,1700.0,Petrol,Manual,1800.0,18,q1,667.0,2160.0,152.47058823529412
BMW,5 Series,1998,Sedan,11111.0,2500.0,Petrol,Manual,3200.0,24,q1,463.0,2666.64,334.63717647058826
Nissan,Rare,2014,Hatchback,87100.0,1200.0,Petrol,Manual,7950.0,8,q2,10888.0,6968.0,2172.3764705882354
Toyota,Avensis,2000,Sedan,420000.0,1600.0,Metan/Propan,Manual,2999.0,22,q4,19091.0,92400.0,10866.964705882352
Honda,CR-V,2002,Universal,275100.0,2000.0,Petrol,Manual,5900.0,20,q2,13755.0,55020.0,12730.117647058823
BMW,5 Series,2015,Sedan,180236.0,2000.0,Diesel,Automatic,21500.0,7,q4,25748.0,12616.52,10637.458039215686
Honda,CR-V,2010,Crossover,183000.0,2200.0,Diesel,Manual,12999.0,12,q3,15250.0,21960.0,11194.43294117647
Nissan,Rare,2011,Hatchback,195000.0,1500.0,Diesel,Manual,5250.0,11,q3,17727.0,21450.0,4416.176470588235
Volkswagen,Passat,1993,Universal,311254.0,2000.0,Metan/Propan,Manual,29000.0,29,q2,10733.0,90263.66,102652.78980392157
Opel,Astra,2010,Hatchback,190000.0,1300.0,Diesel,Manual,6500.0,12,q3,15833.0,22800.0,5811.764705882353
Skoda,Rapid,2016,Universal,116000.0,1598.0,Petrol,Automatic,10300.0,6,q4,19333.0,6960.0,2811.294117647059
Volkswagen,Sharan,2006,Minivan,250000.0,2000.0,Diesel,Manual,6900.0,16,q3,15625.0,40000.0,10823.529411764706
Nissan,Qashqai,2015,Crossover,149000.0,1200.0,Petrol,Automatic,12500.0,7,q4,21286.0,10430.0,5112.745098039216
Skoda,Superb,2016,Sedan,170000.0,2000.0,Diesel,Automatic,17490.0,6,q4,28333.0,10200.0,6996.0
Toyota,Land Cruiser,2001,SUV,250000.0,4700.0,Metan/Propan,Automatic,9990.0,21,q2,11905.0,52500.0,20567.647058823528
Toyota,Corolla,2006,Universal,256000.0,1400.0,Diesel,Manual,5490.0,16,q3,16000.0,40960.0,8818.447058823529
Mazda,Rare,2002,SUV,255000.0,2000.0,Petrol,Manual,3990.0,20,q2,12750.0,51000.0,7980.0
Chevrolet,Rare,2011,Hatchback,190000.0,1400.0,Plug-in Hybrid,Automatic,9150.0,11,q3,17273.0,20900.0,7499.411764705882
Mercedes,Rare,2019,Crossover,24000.0,3000.0,Petrol,Automatic,51000.0,3,q1,8000.0,720.0,1440.0
Volkswagen,Passat,2002,Universal,270000.0,1800.0,Petrol,Manual,2550.0,20,q2,13500.0,54000.0,5400.0
Volkswagen,Touareg,2010,SUV,235000.0,3000.0,Diesel,Automatic,20950.0,12,q4,19583.0,28200.0,23168.235294117647
BMW,5 Series,2000,Sedan,254604.0,2500.0,Petrol,Manual,4500.0,22,q2,11573.0,56012.88,9884.62588235294
Renault,Megane,2009,Universal,165000.0,1500.0,Diesel,Manual,4999.0,13,q2,12692.0,21450.0,4205.041176470589
Toyota,C-HR,2017,Crossover,115000.0,1800.0,Hybrid,Automatic,17999.0,5,q4,23000.0,5750.0,4058.598039215686
BMW,7 Series,1998,Sedan,350000.0,3500.0,Petrol,Manual,3990.0,24,q3,14583.0,84000.0,13143.529411764706
Mercedes,E Class,2012,Sedan,150000.0,2500.0,Diesel,Automatic,14490.0,10,q3,15000.0,15000.0,8523.529411764706
Audi,Rare,2018,Hatchback,31091.0,3000.0,Petrol,Automatic,35500.0,4,q1,7773.0,1243.64,1731.3419607843136
Renault,Clio,2006,Hatchback,280000.0,1461.0,Diesel,Manual,4299.0,16,q3,17500.0,44800.0,7552.752941176471
Citroen,C3,2012,Hatchback,145000.0,1400.0,Diesel,Automatic,6899.0,10,q3,14500.0,14500.0,3922.9607843137255
Audi,A6,1997,Sedan,29800.0,2400.0,Metan/Propan,Manual,2750.0,25,q1,1192.0,7450.0,803.4313725490196
Ford,Fusion,2013,Sedan,178000.0,2000.0,Hybrid,Automatic,9290.0,9,q4,19778.0,16020.0,5836.305882352941
Toyota,Prius,2014,Sedan,140000.0,800.0,Plug-in Hybrid,Automatic,11200.0,8,q3,17500.0,11200.0,4919.21568627451
Volkswagen,Vento,1993,Sedan,300000.0,1800.0,Petrol,Manual,1700.0,29,q2,10345.0,87000.0,5800.0
Renault,Rare,2017,Crossover,129000.0,1500.0,Diesel,Automatic,10990.0,5,q4,25800.0,6450.0,2779.823529411765
Lexus,CT Series,2012,Hatchback,193000.0,1800.0,Hybrid,Automatic,10950.0,10,q4,19300.0,19300.0,8287.64705882353
Volvo,XC60,2010,SUV,202000.0,2400.0,Diesel,Automatic,14750.0,12,q3,16833.0,24240.0,14021.176470588236
Dacia,Rare,2013,Minivan,209000.0,1500.0,Diesel,Manual,5750.0,9,q4,23222.0,18810.0,4241.470588235294
Hyundai,Rare,2010,Hatchback,145000.0,1400.0,Petrol,Manual,4750.0,12,q2,12083.0,17400.0,3241.176470588235
Lexus,CT Series,2012,Hatchback,194000.0,1800.0,Hybrid,Automatic,9999.0,10,q4,19400.0,19400.0,7607.082352941176
Volvo,XC90,2008,SUV,249000.0,2400.0,Diesel,Manual,11500.0,14,q3,17786.0,34860.0,15721.176470588236
Hyundai,Getz,2008,Hatchback,142000.0,1100.0,Petrol,Manual,3499.0,14,q1,10143.0,19880.0,2727.847843137255
Mercedes,A Class,2005,Hatchback,260000.0,1500.0,Metan/Propan,Automatic,4750.0,17,q3,15294.0,44200.0,8233.333333333334
Mercedes,C Class,2002,Coupe,240000.0,2300.0,Petrol,Manual,3499.0,20,q2,12000.0,48000.0,6586.35294117647
Jaguar,Rare,2012,Sedan,120000.0,2200.0,Diesel,Automatic,15999.0,10,q2,12000.0,12000.0,7528.941176470588
Mercedes,E Class,2010,Sedan,182000.0,1800.0,Petrol,Automatic,11750.0,12,q3,15167.0,21840.0,10063.529411764706
Skoda,Octavia,2005,Universal,300000.0,2000.0,Petrol,Manual,4999.0,17,q3,17647.0,51000.0,9998.0
Opel,Astra,2008,Universal,310000.0,1300.0,Diesel,Manual,4850.0,14,q4,22143.0,43400.0,8254.509803921568
Skoda,Superb,2014,Sedan,186000.0,1600.0,Diesel,Automatic,12300.0,8,q4,23250.0,14880.0,7177.411764705882
Volkswagen,Rare,2011,Pickup,150000.0,2000.0,Diesel,Manual,12800.0,11,q2,13636.0,16500.0,8282.35294117647
Mercedes,Vito,2000,Minivan,258000.0,2200.0,Diesel,Automatic,2999.0,22,q2,11727.0,56760.0,6675.421176470588
Nissan,Qashqai,2016,Crossover,151000.0,1500.0,Diesel,Manual,13890.0,6,q4,25167.0,9060.0,4935.035294117647
BMW,5 Series,2018,Sedan,46000.0,2000.0,Petrol,Automatic,27650.0,4,q2,11500.0,1840.0,1995.137254901961
Renault,Megane,2010,Universal,257110.0,1500.0,Diesel,Manual,4999.0,12,q4,21426.0,30853.2,6048.437129411765
Ford,Mondeo,2016,Sedan,167000.0,1500.0,Diesel,Manual,12990.0,6,q4,27833.0,10020.0,5104.305882352941
Toyota,C-HR,2018,Crossover,114000.0,1800.0,Hybrid,Automatic,16750.0,4,q4,28500.0,4560.0,2995.294117647059
Nissan,Qashqai,2017,Crossover,157600.0,1500.0,Diesel,Manual,11990.0,5,q4,31520.0,7880.0,3705.1450980392156
Toyota,Auris,2014,Universal,190000.0,1800.0,Hybrid,Automatic,8990.0,8,q4,23750.0,15200.0,5358.745098039216
Toyota,C-HR,2017,Crossover,119000.0,1800.0,Hybrid,Automatic,18790.0,5,q4,23800.0,5950.0,4384.333333333333
